Fecha,Demanda
2022-09-12,1952.0
2022-09-19,2528.0
2022-09-26,2624.0
2022-10-03,2700.0
2022-10-10,2080.0
2022-10-17,534.0
2022-10-24,1964.0
2022-10-31,1224.0
2022-11-07,3295.0
2022-11-14,256.0
2022-11-21,0.0
2022-11-28,832.0
2022-12-05,876.0
2022-12-12,6616.0
2022-12-19,1920.0
2022-12-26,3168.0
2023-01-02,0.0
2023-01-09,0.0
2023-01-16,1441.0
2023-01-23,3808.0
2023-01-30,0.0
2023-02-06,0.0
2023-02-13,364.0
2023-02-20,1152.0
2023-02-27,992.0
2023-03-06,1728.0
2023-03-13,416.0
2023-03-20,0.0
2023-03-27,416.0
2023-04-03,0.0
2023-04-10,64.0
2023-04-17,416.0
2023-04-24,1248.0
2023-05-01,768.0
2023-05-08,128.0
2023-05-15,0.0
2023-05-22,0.0
2023-05-29,0.0
2023-06-05,0.0
2023-06-12,256.0
2023-06-19,320.0
2023-06-26,2784.0
2023-07-03,1738.0
2023-07-10,0.0
2023-07-17,576.0
2023-07-24,2016.0
2023-07-31,128.0
2023-08-07,288.0
2023-08-14,0.0
2023-08-21,1184.0
2023-08-28,2656.0
2023-09-04,1016.0
2023-09-11,0.0
2023-09-18,1176.0
2023-09-25,2604.0
2023-10-02,576.0
2023-10-09,0.0
2023-10-16,1440.0
2023-10-23,864.0
2023-10-30,1728.0
2023-11-06,1440.0
2023-11-13,64.0
2023-11-20,1280.0
2023-11-27,640.0
2023-12-04,1152.0
2023-12-11,352.0
2023-12-18,864.0
2023-12-25,6528.0
2024-01-01,0.0
2024-01-08,0.0
2024-01-15,128.0
2024-01-22,1216.0
2024-01-29,864.0
2024-02-05,504.0
2024-02-12,120.0
2024-02-19,228.0
2024-02-26,688.0
2024-03-04,280.0
2024-03-11,396.0
2024-03-18,352.0
2024-03-25,168.0
2024-04-01,688.0
2024-04-08,1044.0
2024-04-15,397.0
2024-04-22,280.0
2024-04-29,1476.0
2024-05-06,676.0
2024-05-13,140.0
2024-05-20,725.0
2024-05-27,544.0
2024-06-03,680.0
2024-06-10,1346.0
2024-06-17,703.0
2024-06-24,956.0
2024-07-01,240.0
2024-07-08,748.0
2024-07-15,1074.0
2024-07-22,988.0
2024-07-29,692.0
2024-08-05,478.0
2024-08-12,796.0
2024-08-19,800.0
2024-08-26,3136.0
2024-09-02,128.0
2024-09-09,0.0
2024-09-16,2148.0
2024-09-23,80.0
2024-09-30,372.0
2024-10-07,848.0
2024-10-14,883.0
2024-10-21,924.0
2024-10-28,535.0
2024-11-04,764.0
2024-11-11,1063.0
2024-11-18,978.0
2024-11-25,640.0
2024-12-02,940.0
2024-12-09,1099.0
2024-12-16,1932.0
2024-12-23,996.0
2024-12-30,578.0
2025-01-06,160.0
2025-01-13,184.0
2025-01-20,1140.0
2025-01-27,1480.0
2025-02-03,760.0
2025-02-10,664.0
2025-02-17,872.0
2025-02-24,1300.0
2025-03-03,24.0
2025-03-10,1266.0
2025-03-17,1408.0
2025-03-24,2052.0
2025-03-31,716.0
2025-04-07,3025.0
2025-04-14,1028.0
2025-04-21,1539.0
2025-04-28,2292.0
2025-05-05,608.0
2025-05-12,288.0
2025-05-19,1810.0
2025-05-26,856.0
2025-06-02,1300.0
2025-06-09,1408.0
2025-06-16,1080.0
2025-06-23,2094.0
2025-06-30,1269.0
2025-07-07,0.0
2025-07-14,708.0
2025-07-21,2064.0
2025-07-28,2004.0
2025-08-04,1620.0
2025-08-11,432.0
2025-08-18,1767.0
2025-08-25,2532.0
2025-09-01,264.0
2025-09-08,2003.0
2025-09-15,0.0
2025-09-22,0.0
2025-09-29,5074.0
2025-10-06,1342.0
2025-10-13,2450.0
2025-10-20,1332.0
2025-10-27,2758.0
2025-11-03,2256.0
2025-11-10,1599.0
2025-11-17,233.0
2025-11-24,1060.0
2025-12-01,128.0
2025-12-08,1004.0
2025-12-15,1848.0
2025-12-22,640.0
2025-12-29,1092.0
2026-01-05,132.0
2026-01-12,36.0
2026-01-19,2628.0
2026-01-26,3168.0
2026-02-02,180.0
2026-02-09,0.0
2026-02-16,0.0
2026-02-23,5604.0
